"","0.1 %","99.9 %"
"(Intercept)",-286.639454108136,-262.01826398641
"TV",-1.19939344439798,0.272503492595035
"Electronic_games",-0.492706614658698,0.635147827348075
"Social_media",0.033278408510346,1.67504318653262
"Other_internet",0.610323939114885,2.27110326503764
"Own_computer",-0.630548602661407,0.204163435478367
"Male",-1.86226687718777,-1.07741614947241
"Age",-0.370511535422111,0.273115512090083
"BMI",0.0245505355171977,0.0949680060089038
"Motivation",-2.21800813383438,-1.53648635654629
"Ethnicity",-0.542125135073342,0.451465740598098
"Closeness",-0.958317772331841,-0.502014451735581
"Father",213.099756560087,161.499962840935
"Score",-0.0336583575047222,0.0481465922227857
"Employed",-0.474677270666759,0.352046869889983
"Illness",0.139309384427833,0.889660807958481
"Time",-0.224917943062209,0.129653352705563
"Distress",-0.0520020573522945,0.0276924559601854
"Siblings",-0.276495162447039,0.0577139402200159
"Income",-0.00128703961624322,0.00104671732461636
