"","0 %","100 %"
"(Intercept)",-267.631230814171,-270.230397475265
"TV",-1.401851555289,0.477253938603777
"Electronic_games",-0.649126178106002,0.790715866131392
"Social_media",-0.190360347651679,1.9057222584648
"Other_internet",0.383538083934729,2.50393589002717
"Own_computer",-0.740395538686707,0.32611480053976
"Male",-1.97505820427926,-0.972871505741756
"Age",-0.457447282044974,0.364381147968076
"BMI",0.0146719979809208,0.104596902463829
"Motivation",-2.31501609001805,-1.44489646757931
"Ethnicity",-0.671814234151583,0.59813903543845
"Closeness",-1.02232368796729,-0.439754107380307
"Father",103.986163729498,184.239241841384
"Score",-0.044940123196858,0.0594937812594872
"Employed",-0.585671262541205,0.470040025863495
"Illness",0.0317401031240037,0.990097634674164
"Time",-0.273869238783328,0.178788728843613
"Distress",-0.0634043106799967,0.0383524742583596
"Siblings",-0.324255619029903,0.102487358297635
"Income",-0.00161351759886747,0.00136560747909547
