"","x"
"(Intercept)",-19.5660685157012
"TV",-0.465274865663287
"Electronic_games",0.0718900051561859
"Social_media",0.84856617450735
"Other_internet",1.43590465196396
"Own_computer",-0.222793177131482
"Male",-1.46328877522175
"Age",-0.0521380608029871
"BMI",0.0599569174663167
"Motivation",-1.87294011376077
"Ethnicity",-0.0587619803694882
"Closeness",-0.728779083465717
"Father",25.5529153839534
"Score",0.00719207174056454
"Employed",-0.0668755715570925
"Illness",0.520145816706517
"Time",-0.0477788822527439
"Distress",-0.0115635544477906
"Siblings",-0.106964996368528
"Income",-0.00011411601450064
