"","x"
"(Intercept)",3.18100543467387e-09
"TV",0.627962476143304
"Electronic_games",1.07453714401791
"Social_media",2.33629461046484
"Other_internet",4.20344594489599
"Own_computer",0.800280348456745
"Male",0.231473756386839
"Age",0.949197810784295
"BMI",1.061790800922
"Motivation",0.153671186206994
"Ethnicity",0.94293117857984
"Closeness",0.482497720066172
"Father",125167087786.987
"Score",1.00721799680289
"Employed",0.935311573459344
"Illness",1.68227293531397
"Time",0.953344565175867
"Distress",0.988503046486247
"Siblings",0.898557125202298
"Income",0.999885890496484
